Titre,Auteur,Editeur,auteur_last_name,auteur_first_name
Ça fait rire les poètes,Henry Jean-Marie,Rue du Monde,Henry,Jean-Marie
Ca pourrait être pire,Zemach Margot,Circonflexe,Zemach,Margot
Ça se peut ou ça se peut pas ?,Manceau Edouard,Milan,Manceau,Edouard
Ça va mieux !,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
Ça va pas la tête,Géhin Elisa,Hélium,Géhin,Elisa
Caca boudin,Blake Stéphanie,Ecole des Loisirs,Blake,Stéphanie
Caché !,Dreyfuss Corinne,Thierry Magnier,Dreyfuss,Corinne
Cache-cache dans la jungle !,Cousins Lucy,Albin Michel jeunesse,Cousins,Lucy
Cache-cache dans la jungle !,Goossens Philippe,Larousse,Goossens,Philippe
Cache-cache des grosses bêtes,Latyk Olivier,Nathan,Latyk,Olivier
Cache-cache des petites bêtes,Denolle Christel,Nathan,Denolle,Christel
Cache-cache fantômes,Adams Pam,Didier jeunesse,Adams,Pam
Cadeau (le),Monloubou Claire,Amaterra,Monloubou,Claire
Cadeau oublié (le),Clément Claude,Syros,Clément,Claude
Cafard (le),Gravel Elise,Le Pommier,Gravel,Elise
Cahiers du CRILJ,Collectif,,Collectif,
Caillou (le),Dedieu Thierry,Seuil jeunesse,Dedieu,Thierry
"Caïman, le chasseur et le lièvre (le)",Konaté Moussa,Alyssa,Konaté,Moussa
"Calamity Jane, l'indomptable",Loyer Anne,A pas de loups,Loyer,Anne
Calamity Jeanne,Grave Marie-Eve de,Hélium,Grave,Marie-Eve de
Calder Fishbones,Cvach Milos,Centre Georges Pompidou,Cvach,Milos
Câline-mi et Câline-moi,Gay Michel,Ecole des Loisirs,Gay,Michel
Calinours va faire les courses,Stehr Frédéric,Ecole des Loisirs,Stehr,Frédéric
Cambouis,Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Caméléon arc-en-ciel (le),Yonezu Yusuke,Minedition,Yonezu,Yusuke
Caméléon méli-mélo (le),Carle Eric,Mijade,Carle,Eric
Canard fermier (le),Waddell Martin,Ecole des loisirs,Waddell,Martin
Capitaine,Douzou Olivier,Rouergue,Douzou,Olivier
Caprices ? C'est fini !,Delye Pierre,Didier jeunesse,Delye,Pierre
Caravane (la),Kochka,Thierry Magnier,Kochka,
Caresse du papillon (la),Voltz Christian,Rouergue,Voltz,Christian
Carnaval des dragons (le),Ducos Max,Sarbacane,Ducos,Max
Carnavalphabet,Roman Ghislaine,P'tit Glénat,Roman,Ghislaine
Carton rouge,Jadoul Emile,Ecole des loisirs,Jadoul,Emile
Catsou,Brunet Bénédicte,Rouergue,Brunet,Bénédicte
Cauchemar (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Cauchemar de Gaëtan Quichon (le),Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Cavaliers de mars (les),Mélisou Marie,P'tit cairn,Mélisou,Marie
Ce livre est rempli de monstres,Van Genechten Guido,Mijade,Van,Genechten Guido
Ce livre-là,Doray Malika,MeMo,Doray,Malika
Ce matin,Nakamura Junko,MeMo,Nakamura,Junko
Ce n'est pas mon chapeau,Klassen Jon,Milan,Klassen,Jon
Ce n'est pas très compliqué,Ribeyron Samuel,Hong Fei,Ribeyron,Samuel
Ce n'est pas une bonne idée,Willems Mo,Ecole des loisirs,Willems,Mo
Ce que j'aime faire,Browne Anthony,Ecole des loisirs,Browne,Anthony
Ce que le vieux fait est bien fait,Andersen Hans Christian,Flammarion,Andersen,Hans Christian
Ce que lisent les animaux,Carlain Noé,Sarbacane,Carlain,Noé
Ce qui serait bien,Grégoire Caroline,Ecole des Loisirs,Grégoire,Caroline
Ce type est un vautour,Sara,Casterman,Sara,
Ceci est un poème qui guérit les poissons,Siméon Jean Pierre,Rue du Monde,Siméon,Jean Pierre
Ceci est un poème qui guérit les poissons,Siméon Jean Pierre,Rue du Monde,Siméon,Jean Pierre
Cendrillon,Perrault Charles,Lito,Perrault,Charles
Cendrillon au musée,Khaldi-Bonnaud Ahmed,Actes sud junior,Khaldi-Bonnaud,Ahmed
Cent bêtes pour ceux qui s'embêtent,Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
Cerf-volant de Toshiro (le),Roman Ghislaine,Nathan,Roman,Ghislaine
Ces livres qui font grandir les enfants,Turin Joëlle,Didier jeunesse,Turin,Joëlle
Ces livres qui font grandir les enfants,Turin Joëlle,Didier jeunesse,Turin,Joëlle
Ces livres qui font grandir les enfants,Turin Joëlle,Didier jeunesse,Turin,Joëlle
César,Solotareff Grégoire,Ecole des Loisirs,Solotareff,Grégoire
C'est à moi !,Bisinski Pierrick,Ecole des Loisirs,Bisinski,Pierrick
C'est bien ! C'est affreux !,Lexau Joan,Saltimbanque,Lexau,Joan
C'est bien la moindre des choses,Manceau Edouard,Milan jeunesse,Manceau,Edouard
C'est chic !,Dorléans Marie,Seuil,Dorléans,Marie
C'est dingue,Pittau Francesco,Gallimard jeunesse,Pittau,Francesco
C'est l'histoire,Crausaz Anne,MeMo,Crausaz,Anne
C'est l'histoire du poisson bavard,Courgeon Rémi,Seuil jeunesse,Courgeon,Rémi
C'est l'histoire d'un éléphant,Lestrade Agnès de,Sarbacane,Lestrade,Agnès de
C'est l'histoire d'un hippopotame,Lestrade Agnès de,Sarbacane,Lestrade,Agnès de
C'est l'histoire d'une grenouille,Lestrade Agnès de,Sarbacane,Lestrade,Agnès de
C'est ma maison,Giordano Philip,Milan,Giordano,Philip
C'est moi le plus beau,Ramos Mario,Ecole des Loisirs,Ramos,Mario
C'est moi le plus fort,Ramos Mario,Ecole des Loisirs,Ramos,Mario
C'est moi le roi !,Bizouerne Gilles,Seuil jeunesse,Bizouerne,Gilles
C'est mon arbre,Tallec Olivier,Ecole des loisirs,Tallec,Olivier
C'est pas juste !,Piquemal Michel,Albin Michel jeunesse,Piquemal,Michel
C'est pas ma faute,Voltz Christian,Rouergue,Voltz,Christian
C'est pour qui ?,Escoffier Michaël,Ecole des loisirs,Escoffier,Michaël
"C'est quoi, la mort ?",Piquemal Michel,Albin Michel jeunesse,Piquemal,Michel
C'est ta faute !,Brisou Pellen Evelyne,Milan jeunesse,Brisou,Pellen Evelyne
C'est un jardin,Dexet Hector,Amaterra,Dexet,Hector
C'est un livre,Smith Lane,Gallimard jeunesse,Smith,Lane
Cette belle dame,Zolotow Charlotte,Ecole des Loisirs,Zolotow,Charlotte
Cette nuit-là,Courgeon Rémi,Mango jeunesse,Courgeon,Rémi
Ceux qui n'aiment pas lire,Corenblit Rachel,Rouergue,Corenblit,Rachel
Chachatatutu et le phénix (le),Le Craver Jean Louis,Syros,Le,Craver Jean Louis
Chaise bleue (la),Boujon Claude,Ecole des Loisirs,Boujon,Claude
Chaises (les),Cumont Louise-Marie,MeMo,Cumont,Louise-Marie
Chaises (les),Frier Raphaële,Le port a jauni,Frier,Raphaële
Chanson de l'hippocampe et autres poèmes,Césaire Aimé,Gallimard jeunesse,Césaire,Aimé
Chant du sorcier (le),Norac Carl,Bayard jeunesse,Norac,Carl
Chant des baleines (le),Sheldon Dyan,Ecole des Loisirs,Sheldon,Dyan
Chant des lunes (le),Gudule,Thierry Magnier,Gudule,
Chapeau (le),Malte Marcus,Syros,Malte,Marcus
Chapeau à secrets (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Chapeau rond rouge,Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Chapeau volant (le),Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
"Chaperon rouge, collection privée",Nadja,Cornélius,Nadja,
Charlepogne et Poilenfrac,Fuentes Roland,Le baron perché,Fuentes,Roland
Charles à l'école des dragons,Cousseau Alex,Seuil jeunesse,Cousseau,Alex
Charles prisonnier du cyclope,Cousseau Alex,Seuil jeunesse,Cousseau,Alex
Chasse à l'ours (la),Rosen Michael,Ecole des loisirs,Rosen,Michael
Chat,Angeli May,Thierry Magnier,Angeli,May
Chat (le),Mollet Charlotte,Rouergue,Mollet,Charlotte
Chat botté (le),Perrault Charles,Flammarion,Perrault,Charles
Chat Botté (le),Kimiko,Ecole des loisirs,Kimiko,
Chat chapeauté (le),Dr Seuss,Pocket jeunesse,Dr,Seuss
Chat le plus mignon du monde (le),Pianina Vincent,Thierry Magnier,Pianina,Vincent
Chat machin (le),Malte Marcus,Syros,Malte,Marcus
Chat noir chat blanc,Garralon Claire,MeMo,Garralon,Claire
Chat noir et autres contes fantastiques (Le),Poe Edgar,Gallimard,Poe,Edgar
Chat pas moi !,Cortey Anne,Sarbacane,Cortey,Anne
Chat trop gourmand et le perroquet (le),Cone Bryant Sara,Nathan,Cone,Bryant Sara
Chat ventru (le),Simonsen Michèle,Didier jeunesse,Simonsen,Michèle
Château de cartes,Rodari Gianni,Circonflexe,Rodari,Gianni
Château de sable (le),Tsarfati Einat,Cambourakis,Tsarfati,Einat
Châteaux forts (les),Longour Michèle,Nathan,Longour,Michèle
Chaussures neuves (les),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Chauve souris (la),Fersen Thomas,Points de Suspension,Fersen,Thomas
Chauve-souris (la),Gravel Elise,Le Pommier,Gravel,Elise
Chavola (la),Quatromme France,Lirabelle/Amnesty,Quatromme,France
Chedid (le),Chedid Andrée,Mango jeunesse,Chedid,Andrée
Chemin qui ne mène nulle part (le),Rodari Gianni,Seuil jeunesse,Rodari,Gianni
Chenille qui fait des trous (la),Carle Eric,Mijade,Carle,Eric
Chenille qui fait des trous (la),Carle Eric,Mijade,Carle,Eric
Cher Père Noël,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
Cherche amis,Poussier Audrey,Ecole des Loisirs,Poussier,Audrey
Cherchons loup sachant lire,Duval Elisabeth,Ecole des Loisirs,Duval,Elisabeth
Chère madame ma grand-mère,Brami Elisabeth,Nathan,Brami,Elisabeth
Chère Mamie,Chazerand Emilie,L'élan vert,Chazerand,Emilie
Chers Maman et Papa,Gravett Emily,Ecole des Loisirs,Gravett,Emily
Cheval de craie (le),Gabriel Pierre,Le farfadet bleu,Gabriel,Pierre
Chèvre biscornue (la),Kiffer Christine,Didier jeunesse,Kiffer,Christine
Chèvres aux yeux doux (les),Davies Stephen,Gallimard jeunesse,Davies,Stephen
Chez les ours,Doray Malika,Ecole des Loisirs,Doray,Malika
Chez moi,Cali Davide,Actes Sud junior,Cali,Davide
Chez un père crocodile,Doray Malika,MeMo,Doray,Malika
Chhht !,Grindley Sally,Ecole des Loisirs,Grindley,Sally
Chhht !,Grindley Sally,Ecole des Loisirs,Grindley,Sally
Chien bleu,Nadja,Ecole des loisirs,Nadja,
Chien et le chat (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Chien qui voulait être chat (le),Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
Chien-chien à sa Mémère (le),Lestrade Agnès de,Sarbacane,Lestrade,Agnès de
Chirurgien,Dedieu Thierry,Seuil,Dedieu,Thierry
Choco,Bertrand Frédérique,Rouergue,Bertrand,Frédérique
Chouette (la),Dedieu Thierry,Seuil jeunesse,Dedieu,Thierry
Chut !,Cadier Morgane de,Hong Fei,Cadier,Morgane de
"Chut, on a un plan",Haughton Chris,Thierry Magnier,Haughton,Chris
Chuuut !,Minfong Ho,Flammarion,Minfong,Ho
Cinq amis,Nakamura Junko,MeMo,Nakamura,Junko
Cinq dans le lit,Painset Marie-France,Didier jeunesse,Painset,Marie-France
Cinq Malfoutus (les),Alemagna Béatrice,Hélium,Alemagna,Béatrice
Cinq petits doigts,Nadja,Ecole des Loisirs,Nadja,
Cinq sens (les),Tullet Hervé,Seuil,Tullet,Hervé
Citrons !,Dreyfuss Corinne,Frimousse,Dreyfuss,Corinne
Claire et l'oiseleur,Griffon A,FOL de l'Ardèche,Griffon,A
Clarinha,Bloch Muriel,Didier jeunesse,Bloch,Muriel
Claude Ponti,Van der Linden Sophie,Etre,Van,der Linden Sophie
Clé à molette (la),Gravel Elise,Nathan,Gravel,Elise
Clé des contes (la),Bricout Bernadette,Seuil,Bricout,Bernadette
Clown,Elzbieta,Ecole des Loisirs,Elzbieta,
Coâ encore!,Devos Lydia,Point de suspension,Devos,Lydia
Coccinelle mal lunée,Carle Eric,Mijade,Carle,Eric
Cochon magique (le),Monfreid Dorothée de,Ecole des loisirs,Monfreid,Dorothée de
Coco bagarre,Nicolas Christophe,Les fourmis rouges,Nicolas,Christophe
Coco Panache,Valckx Catharina,Ecole des Loisirs,Valckx,Catharina
Cocotte qui tiptaptope (la),Promeyrat Coline,Didier Jeunesse,Promeyrat,Coline
Cocotte tricote,Beigel Christine,Didier jeunesse,Beigel,Christine
Code de la route (le),Ramos Mario,Ecole des Loisirs,Ramos,Mario
Code de l'art (le),Guérif Andy,Palette,Guérif,Andy
Cœur de bois,Meunier Henri,Notari,Meunier,Henri
Cœur de hibou,Wlodarczyk Isabelle,Rue du monde,Wlodarczyk,Isabelle
Cœur de pierre,Dorin Philippe,Syros,Dorin,Philippe
Coffre enchanté (le),Chabas Jean-François,Casterman,Chabas,Jean-François
Combat des Cerfs-volants (le),Mélano Olivier,Ecole des Loisirs,Mélano,Olivier
Comme chaque matin,Voltz Christian,Rouergue,Voltz,Christian
Comme des sardines,Morin Patrick,Ecole des loisirs,Morin,Patrick
Comme mon père me l'a appris,Rascal,Ecole des Loisirs,Rascal,
Comme si j'avais peur,Duval Elisabeth,Ecole des Loisirs,Duval,Elisabeth
Comme un géant,Daniau Marc,Thierry Magnier,Daniau,Marc
Comme un sourire qui flotte,Scotto Thomas,Pourquoi pas,Scotto,Thomas
Comment ça va ?,Morgenstern Susie,Rouergue,Morgenstern,Susie
Comment élever son papa,Le Saux Alain,Rivages,Le,Saux Alain
Comment élever un Raymond ?,Lestrade Agnès de,Sarbacane,Lestrade,Agnès de
Comment j'ai appris la Géographie,Shulevitz Uri,Ecole des Loisirs,Shulevitz,Uri
Comment j'ai connu Papa,Vidal Séverine,Rouergue,Vidal,Séverine
Comment le rhinocéros se fit la peau,Kipling Rudyard,Sorbier,Kipling,Rudyard
Comment lire un livre ?,Fehr Daniel,Ecole des loisirs,Fehr,Daniel
Comment rallumer un dragon éteint ?,Lévy Didier,Sarbacane,Lévy,Didier
Comment tout a commencé,Vivardi Liuna,MeMo,Vivardi,Liuna
Comment tu dors ?,Cosneau Olivia,Hélium,Cosneau,Olivia
Comment un livre vient au monde,Serres Alain,Rue du Monde,Serres,Alain
Complot de Mortefeuille (le),Pereira Marjolaine,Millefeuilles,Pereira,Marjolaine
Compte sur tes doigts !,Dé Claire,Les Grandes Personnes,Dé,Claire
Comptine,Tardieu Jean,Rue du Monde,Tardieu,Jean
Comptine des perroquets (la),Manceau Edouard,Albin Michel jeunesse,Manceau,Edouard
Comptines à la ferme,Havard Christian,L'Hydre,Havard,Christian
Comptines à la recherche du loup,Havard Christian,L'hydre,Havard,Christian
Comptines au long des rues,Scotto Thomas,Actes sud junior,Scotto,Thomas
Comptines de la nuit,Havard Christian,L'hydre,Havard,Christian
Comptines en trompe l'œil,Coran Pierre,Casterman,Coran,Pierre
Comptines françaises,Dumas Philippe,Flammarion,Dumas,Philippe
Comptines pour bébé,Havard Christian,L'hydre,Havard,Christian
Comptines pour la gourmandise,Yzac Adeline,L'hydre,Yzac,Adeline
Comptines pour le père Noël,Havard Christian,L'hydre,Havard,Christian
Comptines pour nasiller comme un canard,Coran Pierre,Casterman,Coran,Pierre
Comptines pour ne pas bredouiller,Coran Pierre,Casterman,Coran,Pierre
Comptines pour que les consonnes sonnent,Coran Pierre,Casterman,Coran,Pierre
Comptines pour que les voyelles s'emmêlent,Coran Pierre,Casterman,Coran,Pierre
Comptines pour se régaler,Collectif,Lito,Collectif,
Conte de fée,Lü Yuan,Rue du Monde,Lü,Yuan
Conte en bibliothèque (le),Cevin Evelyne,Cercle de la librairie,Cevin,Evelyne
Conte n°1,Ionesco Eugène,Gallimard,Ionesco,Eugène
Contes,Grimm Jacob et Wilhelm,Gallimard,Grimm,Jacob et Wilhelm
Contes,Andersen Hans Christian,France Loisirs,Andersen,Hans Christian
Contes à croquer,Gaussel Alain,Syros,Gaussel,Alain
Contes au petit frère,Belhalfaoui Hamou,L'Harmattan,Belhalfaoui,Hamou
Contes d'Afrique pour les tout-petits,Mbodj Souleymane,Milan,Mbodj,Souleymane
Contes d'Andersen,Andersen Hans Christian,Gründ,Andersen,Hans Christian
Contes d'Asie,Gougaud Henri,Seuil jeunesse,Gougaud,Henri
Contes de Berbérie,Féron Romano José,Le Jasmin,Féron,Romano José
Contes de chevaux,Causse Rolande,Albin Michel jeunesse,Causse,Rolande
Contes de l’olivier,Gendrin Catherine,Rue du Monde,Gendrin,Catherine
Contes de la Folie Méricourt,Gripari Pierre,Grasset,Gripari,Pierre
Contes de la rue Broca,Gripari Pierre,Table ronde,Gripari,Pierre
Contes de Provence,Clément Claude,Milan Jeunesse,Clément,Claude
Contes de Russie,Collectif,Actes Sud junior,Collectif,
Contes de Russie,Cadier Florence,Vilo jeunesse,Cadier,Florence
Contes des calligraphes et des sultans,Musa Hassan,Grandir,Musa,Hassan
Contes des indiens des Chiapas,Condominas Baptiste,Actes Sud,Condominas,Baptiste
Contes des mille et une nuits,Collectif,Touret,Collectif,
Contes des mille et une nuits,Laporte Michel,Flammarion,Laporte,Michel
Contes des peuples de Chine,Guillaume Olive,Syros,Guillaume,Olive
Contes d'Orient,Darwiche Jihad,Saltimbanque,Darwiche,Jihad
Contes du bout du monde,Delpeuch Régis,SEDRAP jeunesse,Delpeuch,Régis
Contes du Brésil,Tanaka Béatrice,Syros,Tanaka,Béatrice
Contes du cimetière (les),Waddell Martin,Gautier-Languereau,Waddell,Martin
Contes du Maghreb,Muzi Jean,Hachette,Muzi,Jean
Contes d'un roi pas si sage,Roman Ghislaine,Seuil jeunesse,Roman,Ghislaine
Contes et fables d'Afrique,"Bryan, Muzi, Knappert",Castor poche,Bryan,  Muzi  Knappert
Contes et légendes de la mythologie,Grenier Christian,Nathan,Grenier,Christian
Contes et musiques d'Afrique,Mbodj Souleymane,Milan,Mbodj,Souleymane
Contes et mythes des Maasaï,Faraggi Anne W.,Actes Sud,Faraggi,Anne W.
Contes glacés,Sternberg Jacques,Mijade,Sternberg,Jacques
Contes magiques du monde entier,Mayo Margaret,Gautier-Languereau,Mayo,Margaret
Contes pour enfants pas sages,Prévert Jacques,Gallimard,Prévert,Jacques
Contes traditionnels de Provence,Clément Claude,Milan,Clément,Claude
"Conti, conta, comptines",Descamps Dominique,A pas de loups,Descamps,Dominique
Coq mange-noix (le),Mezquita Roberto,OQO éditions,Mezquita,Roberto
Cornebidouille,Bertrand Pierre,Ecole des Loisirs,Bertrand,Pierre
Cornebidouille contre Cornebidouille,Bertrand Pierre,Ecole des loisirs,Bertrand,Pierre
Corolles,UG Philippe,Les Grandes Personnes,UG,Philippe
Côté cœur,Rascal,Ecole des loisirs,Rascal,
"Couché, Papa !",Allancé Mireille d',Ecole des loisirs,Allancé,Mireille d'
Coucou !,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
"Coucou ! C'est moi, Turlututu",Tullet Hervé,Bayard jeunesse,Tullet,Hervé
Coucou Coco,Monfreid Dorothée de,Ecole des loisirs,Monfreid,Dorothée de
"Coucou, c'est moi",Brun Cosme Nadine,Flammarion,Brun,Cosme Nadine
"Coucou, qui se cache ?",Torres Cimarusti Marie,Albin Michel jeunesse,Torres,Cimarusti Marie
"Coucou, tu me vois ?",Collectif,Gallimard jeunesse,Collectif,
Couleur de la nuit (la),Kérillis Hélène,L'élan vert,Kérillis,Hélène
Couleurs,Tullet Hervé,Bayard jeunesse,Tullet,Hervé
Couleurs à sensation,Gil Isabelle,Rouergue,Gil,Isabelle
Couleurs couleurs,Pacovska Kveta,Minedition,Pacovska,Kveta
Couleurs florilège,Collectif,Gallimard,Collectif,
"Couleurs, lumières et reflets",Causse Rolande,Actes sud,Causse,Rolande
Coup de foudre,Solotareff Grégoire,Ecole des loisirs,Solotareff,Grégoire
Coup de gigot,Dahl Roald,Gallimard jeunesse,Dahl,Roald
Coupeur de mots (le),Schädlich Hans Joachim,Flammarion,Schädlich,Hans Joachim
Cour couleurs (la),Henry Jean-Marie,Rue du monde,Henry,Jean-Marie
Courageux petit tailleur (le),Montardre Hélène,Rageot,Montardre,Hélène
Cours !,Cali Davide,Sarbacane,Cali,Davide
Course (la),Tanaka Béatrice,Ecole des Loisirs,Tanaka,Béatrice
Course (la),Manceau Edouard,Milan,Manceau,Edouard
Course épique,Dorléans Marie,Sarbacane,Dorléans,Marie
Crapaud et la clef des eaux,Barthélémy Mimi,Syros,Barthélémy,Mimi
Cri (le),Meunier Henri,Rouergue,Meunier,Henri
Crictor,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Crime caramels,Craipeau Jean-Loup,Mini Syros,Craipeau,Jean-Loup
Crime de Cornin Bouchon (le),Marie et Joseph,Hatier,Marie,et Joseph
Croc-Blanc,London Jack,France Loisirs,London,Jack
Crocodébile,Lenain Thierry,Nathan,Lenain,Thierry
Crocodile (le),Roubaud Jacques,Rue du Monde,Roubaud,Jacques
Crocodile crocodile,Nickl Peter,Ecole des loisirs,Nickl,Peter
Crocolion (le),Louchard Antonin,Thierry Magnier,Louchard,Antonin
Cromignon,Gay Michel,Ecole des Loisirs,Gay,Michel
Croque Lapin (le),Courgeon Rémi,Belin jeunesse,Courgeon,Rémi
Croqueurs de mots (les),David François,Le Rocher,David,François
Cuisine de nuit,Sendak Maurice,Ecole des Loisirs,Sendak,Maurice
Culotte du loup (la),Servant Stéphane,Didier jeunesse,Servant,Stéphane
Cultiver,Bouteloup Philippe,ERES,Bouteloup,Philippe
Cygnes sauvages (les),"Kochka, d'après Andersen",Flammarion,Kochka,  d'après Andersen
Dame Hiver,Grimm Jakob et Wilhelm,Didier jeunesse,Grimm,Jakob et Wilhelm
Danger : enfants pas sages,Friot Bernard,Milan,Friot,Bernard
Dans,Ramadier,Ecole des Loisirs,Ramadier,
Dans 3500 mercredis,Agopian Annie,Rouergue,Agopian,Annie
Dans combien de temps je serai grand ?,Servant Stéphane,Rue du monde,Servant,Stéphane
Dans la boîte,Kunhardt Dorothy,MeMo,Kunhardt,Dorothy
Dans la forêt du paresseux,Boisrobert et Rigaud,Helium,Boisrobert,et Rigaud
Dans la forêt profonde,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Dans la jungle amazonienne,Perreault Mélanie,Les 400 coups,Perreault,Mélanie
Dans la lune,Grosz Pierre,Paris Musées,Grosz,Pierre
Dans la maison de poupée,Massini Anaïs,Autrement jeunesse,Massini,Anaïs
Dans la petite maison verte,Painset Marie-France,Didier jeunesse,Painset,Marie-France
Dans la poche de ma maman,Van Genechten Guido,Milan,Van,Genechten Guido
Dans la poche ma maman,Van Genechten Guido,Milan,Van,Genechten Guido
Dans la pomme,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Dans le ciel il y a…,Tamarin Annette,Les Grands Personnes,Tamarin,Annette
Dans le détail,Géhin Elisa,Les fourmis rouges,Géhin,Elisa
Dans le gant,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Dans le livre,Marceau Fani,Hélium,Marceau,Fani
Dans le ventre de la terre,Roumiguière Cécile,Seuil jeunesse,Roumiguière,Cécile
Dans le ventre du cheval de Troie,Montardre Hélène,Nathan,Montardre,Hélène
Dans le ventre du poisson,Doray Malika,Autrement,Doray,Malika
Dans les nuages,Ramadier,Ecole des Loisirs,Ramadier,
